Study ID,TOT Inj,Blocking,Duel,High intensity running,Playing field conditions,Ball handling,General play,General running,Changing direction,Kicking,Jumping,Gender
1,744,,0.43,,,,,0.19,0.08,0.1,0.07,Males
2,28,0.36,0.57,0.75,,,,,,0.07,,Males
4,204,,0.47,,,,,0.07,0.11,0.09,0.12,Males
5,578,,0.55,,,,,,,,,Males
11,95,,0.25,0.05,,0.01,,0.22,,0.19,0.08,Males
12,10,,0.5,0.8,,0.1,,0.2,,0.1,0.2,Males
15,52,,0.81,,,,,0.02,,,,Males
17,722,0.04,0.41,,,0.24,,,,0.04,,Males
22,286,,0.33,,0.1,0.06,,0.1,0.08,0.06,0.12,Males
24,50,,,,,,,0.23,,,,Males
25,20,,0.9,,,,,,,0.05,,Males
26,73,,0.44,,,,0.19,0.21,,,0.11,Males
29,3385,0.02,0.27,0.04,,0.27,0.42,,,0.1,,Males
30,544,,0.16,,,,,0.06,0.03,0.06,0.06,Males
35,6030,,0.37,,,0.06,,0.2,0.08,0.08,0.06,Males
37,780,0.03,0.15,0.05,,0.3,0.29,,,0.11,,Males
38,7677,0.02,0.12,0.05,,0.2,0.43,,,0.11,,Males
40,152,,0.34,,,0.06,,0.32,0.08,0.01,0.07,Males
41,6030,,0.37,,,0.06,,0.2,0.08,0.08,0.06,Males
43,53,0.23,0.21,,,0.19,,,,0.21,,Males
44,1287,,0.88,,,,,,,,,Males
50,61,0.03,0.08,0.28,,0.03,,0.08,0.02,0.11,0.07,Males
54,109,,0.4,,,,,0.39,,0.06,,Males
59,129,,0.16,0.11,,,,,0.04,0.09,,Males
60,2821,0.03,0.1,0.02,,0.07,0.45,0.11,,0.07,,Males
62,92,,0.1,0.34,,0.02,,0.03,0.04,0.14,0.06,Males
64,345,,0.42,0.23,,0.16,0.14,0.38,,0.15,0.2,Males
7,230,,0.87,,,,,0.05,0.01,0.07,,Females
14,80,,0.39,,,,,0.19,0.06,0.06,0.18,Females
18,693,0.06,0.38,,,0.2,,,,0.03,,Females
19,241,,0.42,,,,,0.12,0.09,0.06,0.05,Females
23,246,,0.34,0.05,0.04,,,0.04,0.14,0.05,,Females
29,2769,0.02,0.76,0.05,,0.26,0.4,,,0.11,,Females
31,230,,0.64,,,,,0.21,,,,Females
37,744,0.01,0.5,0.05,,0.31,0.35,,,0.1,,Females
39,8051,0.02,0.2,0.11,,0.1,0.43,,,0.08,,Females
42,62,,0.44,,,0.13,,0.16,0.08,0.05,0.06,Females
56,210,,0.65,,,,,0.1,,0.08,,Females
61,3932,0.03,0.09,0.02,,0.15,0.44,0.11,,0.06,,Females
