Study ID,Tot injury analised,Blocking,Duel,High intensity running,Playing field conditions,Ball handling,General play,General running,Changing direction,Kicking,Jumping,Session,Gender,Session_gender
29,1048,0.01,0.04,0.14,,0.18,0.41,,,0.11,,Training,Females,Females_Training
37,259,,0.06,0.14,,0.21,0.35,,,0.13,,Training,Females,Females_Training
39,3660,0.02,0.19,0.16,,0.09,0.43,,,0.08,,Training,Females,Females_Training
56,38,,0.55,,,,,0.32,,0.02,,Training,Females,Females_Training
61,3932,,0.03,0.04,,0.06,0.41,0.14,,0.08,,Training,Females,Females_Training
29,2194,0.02,0.09,0.05,,0.26,0.4,,,0.1,,Match,Females,Females_Match
37,485,0.02,0.12,,,0.36,0.34,,,0.09,,Match,Females,Females_Match
39,4674,0.02,0.23,0.01,,0.14,0.45,,,0.08,,Match,Females,Females_Match
56,172,,0.67,,,,,0.11,,0.09,,Match,Females,Females_Match
61,3932,,0.15,,,0.08,0.46,0.08,,0.04,,Match,Females,Females_Match
1,244,,0.54,,,,,0.15,0.05,0.06,0.07,Training,Males,Males_Training
29,1157,0.02,0.06,0.11,,0.22,0.38,,,0.11,,Training,Males,Males_Training
30,297,,0.39,,,,,0.21,0.05,0.16,0.18,Training,Males,Males_Training
35,2046,,0.19,,,0.06,,0.27,0.12,0.12,0.06,Training,Males,Males_Training
37,350,0.02,0.06,0.12,,0.26,0.35,,,0.11,,Training,Males,Males_Training
38,3064,0.02,0.06,0.1,,0.16,0.46,,,0.12,,Training,Males,Males_Training
60,2821,0.03,0.06,0.04,,0.06,0.4,0.14,,0.08,,Training,Males,Males_Training
1,500,,0.21,,,,,0.26,0.15,0.18,0.07,Match,Males,Males_Match
29,1755,0.02,0.13,0.05,,0.27,0.34,,,0.1,,Match,Males,Males_Match
30,230,,0.46,,,,,0.11,0.09,0.18,0.15,Match,Males,Males_Match
35,3780,,0.35,,,0.06,,0.17,0.06,0.06,0.06,Match,Males,Males_Match
37,430,0.03,0.2,,,0.32,0.24,,,0.54,,Match,Males,Males_Match
38,4073,0.02,0.11,,,0.25,0.39,,,0.1,,Match,Males,Males_Match
60,2821,0.02,0.15,,,0.07,0.45,0.09,,0.06,,Match,Males,Males_Match
