Mechanism,Injury,Contact,Cat,Value
Landing,ACL,NC,ACL_NC,0.08
Cutting_&_stopping,ACL,NC,ACL_NC,0.13
Being tackled,ACL,C,ACL_C,0.07
Cutting,ACL,C,ACL_C,0.02
Dribbling,ACL,C,ACL_C,0.00
Heading,ACL,C,ACL_C,0.04
Kicking,ACL,C,ACL_C,0.04
Receiving,ACL,C,ACL_C,0.02
Running/Jumping,ACL,C,ACL_C,0.04
Tackling,ACL,C,ACL_C,0.35
Cutting,ACL,NC,ACL_NC,0.13
Dribbling,ACL,NC,ACL_NC,0.02
Heading,ACL,NC,ACL_NC,0.02
Kicking,ACL,NC,ACL_NC,0.04
Receiving,ACL,NC,ACL_NC,0.04
Running/Jumping,ACL,NC,ACL_NC,0.04
Tackling,ACL,NC,ACL_NC,0.16
Controlling ball,ACL,C,ACL_C,0.00
Crossing,ACL,C,ACL_C,0.00
Defending ball,ACL,C,ACL_C,0.03
Dribbling,ACL,C,ACL_C,0.06
Goalkeeping,ACL,C,ACL_C,0.00
Passing,ACL,C,ACL_C,0.09
Pressing,ACL,C,ACL_C,0.06
Running,ACL,C,ACL_C,0.00
Shooting,ACL,C,ACL_C,0.03
Tackling,ACL,C,ACL_C,0.09
Controlling ball,ACL,NC,ACL_NC,0.03
Crossing,ACL,NC,ACL_NC,0.03
Defending ball,ACL,NC,ACL_NC,0.06
Dribbling,ACL,NC,ACL_NC,0.12
Goalkeeping,ACL,NC,ACL_NC,0.06
Passing,ACL,NC,ACL_NC,0.03
Pressing,ACL,NC,ACL_NC,0.21
Running,ACL,NC,ACL_NC,0.03
Shooting,ACL,NC,ACL_NC,0.03
Tackling,ACL,NC,ACL_NC,0.06
Direct_contact,ACL,C,ACL_C,0.09
Being tackled,ACL,C,ACL_C,0.11
Tackling,ACL,C,ACL_C,0.02
Pivoting,ACL,NC,ACL_NC,0.34
Landing,ACL,NC,ACL_NC,0.20
Acceleration/cutting,ACL,NC,ACL_NC,0.14
Contact w floor,ACL,NC,ACL_NC,0.05
Striking the ball,ACL,NC,ACL_NC,0.02
Jumping,ACL,NC,ACL_NC,0.01
Pressing,ACL,C,ACL_C,0.04
Dribbling,ACL,C,ACL_C,0.06
Trapping,ACL,C,ACL_C,0.07
Chasing loose ball,ACL,C,ACL_C,0.04
Pressing,ACL,NC,ACL_NC,0.28
Dribbling,ACL,NC,ACL_NC,0.10
Trapping,ACL,NC,ACL_NC,0.06
Chasing loose ball,ACL,NC,ACL_NC,0.02
Pressing,ACL,NC,ACL_NC,0.28
Kicking,ACL,NC,ACL_NC,0.13
Heading,ACL,NC,ACL_NC,0.13
Contact w another player,Ankle,C,Ankle_C,0.50
Contact w floor,Ankle,C,Ankle_C,0.04
Contact w ball,Ankle,C,Ankle_C,0.02
Goalkeeping,Ankle,NC,Ankle_NC,0.01
Dribbling,Ankle,NC,Ankle_NC,0.01
Falling,Ankle,NC,Ankle_NC,0.02
Heading,Ankle,NC,Ankle_NC,0.01
Jumping,Ankle,NC,Ankle_NC,0.02
Landing,Ankle,NC,Ankle_NC,0.09
Passing,Ankle,NC,Ankle_NC,0.01
Running,Ankle,NC,Ankle_NC,0.04
Shooting,Ankle,NC,Ankle_NC,0.02
Stretching,Ankle,NC,Ankle_NC,0.01
Twisting/turning,Ankle,NC,Ankle_NC,0.08
Tackling,Ankle,C,Ankle_C,0.54
Kicking,Ankle,C,Ankle_C,0.15
Running,Ankle,NC,Ankle_NC,0.15
Landing,Ankle,NC,Ankle_NC,0.08
Landing,Knee,NC,Knee_NC,0.11
Overtraining,Knee,NC,Knee_NC,0.16
Pivoting & turning,Knee,NC,Knee_NC,0.08
Running,Knee,NC,Knee_NC,0.02
Shooting,Knee,NC,Knee_NC,0.27
Shooting,O,C,O_C,0.08
Running,O,C,O_C,0.06
Being tackled,O,NC,O_NC,0.47
Tackling,O,NC,O_NC,0.39
Controlling ball,O,C,O_C,0.00
Duel,O,C,O_C,0.40
Jumping,O,C,O_C,0.00
Landing,O,C,O_C,0.10
Passing,O,C,O_C,0.00
Running,O,C,O_C,0.00
Tackling,O,C,O_C,0.10
Controlling ball,O,NC,O_NC,0.10
Duel,O,NC,O_NC,0.00
Jumping,O,NC,O_NC,0.10
Landing,O,NC,O_NC,0.00
Passing,O,NC,O_NC,0.10
Running,O,NC,O_NC,0.10
Tackling,O,NC,O_NC,0.00
Collision,O,C,O_C,0.03
Foul play,O,C,O_C,0.10
Tackle,O,C,O_C,0.30
Changing direction,O,NC,O_NC,0.09
Hit by ball,O,NC,O_NC,0.04
Jumping,O,NC,O_NC,0.05
Running,O,NC,O_NC,0.12
Shooting,O,NC,O_NC,0.06
Running,O,NC,O_NC,0.30
Twisting/turning,O,NC,O_NC,0.08
Landing,O,NC,O_NC,0.07
Collision,O,C,O_C,0.22
Tackling,O,C,O_C,0.11
Sprinting/HSR,Thigh,NC,Thigh_NC,0.53
Shooting,Thigh,NC,Thigh_NC,0.12
Stretching,Thigh,NC,Thigh_NC,0.03
